,sp1,sp2,sp3,sp4,sp6,sp7,sp8,sp11,sp12,sp14,sp16,sp17,sp18,sp19,sp21,sp22,sp23,sp24,sp25,sp26,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp36,sp37,sp38,sp39,sp40,sp41,sp43,sp44,sp45,sp46,sp47,sp48,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp60,sp64,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp74,sp75,sp76,sp77,sp78,sp81,sp82,sp83,sp86,sp87,sp88,sp89,sp91,sp94,sp95,sp96,sp97,sp98,sp103,sp104,sp106,sp107,sp112,sp113,sp114,sp115,sp116,sp117,sp118,sp119,sp120,sp123,sp124,sp126,sp127,sp128,sp129,sp130,sp131,sp133,sp134,sp136,sp137,sp138,sp139,sp140,sp143,sp144,sp145,sp146,sp147,sp148,sp151,sp152,sp153,sp154,sp155,sp160,sp162,sp164,sp165,sp166,sp167,sp169,sp170,sp171,sp172,sp173,sp174,sp175,sp176,sp177,sp178,sp179,sp180,sp183,sp189,sp191,sp192,sp193,sp194,sp195,sp197,sp198,sp199,sp202,sp204,sp205,sp206,sp207,sp208,sp210,sp212,sp213,sp214,sp215,sp216,sp217,sp218,sp219,sp221,sp230,sp233,sp235,sp236,sp237,sp241,sp242,sp245,sp246,sp248,sp251,sp252,sp256,sp259,sp263,sp264,sp265,sp266,sp267,sp268,sp269,sp270,sp271,sp272,sp273,sp274,sp275,sp278,sp279,sp281,sp282,sp283,sp287,sp288,sp293,sp298,sp301,sp302,sp303,sp304,sp307,sp308,sp309,sp310,sp311,sp314,sp315,sp317,sp318,sp319,sp321,sp322,sp324,sp326
sa.31,0.058441558,0.915584416,0,0,51.66233766,0,14.33766234,1.753246753,0,0,96.97402597,0,1.305194805,5.025974026,0,0,0,0.292207792,0.019480519,0,1.772727273,0,0,0,0,0,0.019480519,0.487012987,0.818181818,0,0.155844156,0,0.175324675,0,0.077922078,0.214285714,0,0,0,0,0.038961039,0,0,0.214285714,0,0,0,0.233766234,0,0,0,0,2.824675325,0.214285714,0,0.038961039,0,0,0.311688312,0.136363636,0,0,0,0,7.909090909,0,0.038961039,0.175324675,0,0,2.435064935,0,0,0,0,0,0,0.038961039,1.12987013,69.07792208,0,5.142857143,0.467532468,0.019480519,0.038961039,0,0,0,0,0,0,0,0.194805195,0,0,0,0.350649351,0,0.058441558,2.415584416,0.642857143,0.019480519,0,0,1.012987013,0,0.116883117,0,11.3961039,0,0,1.12987013,0.097402597,0,0,0,39.54545455,0.506493506,0,0,0,0.603896104,0,0,0,0.428571429,0,0.545454545,0.058441558,0,0,0,0,0,0.487012987,0,0,0,0,0.058441558,0,0.935064935,0.097402597,0,0,0,0.603896104,1.032467532,0,1.850649351,0,0.136363636,0,0,0.038961039,0,0.058441558,0,0.487012987,0,0,0,0,0,0,0,0.818181818,0.077922078,0,0,0,0,0.019480519,0.058441558,0,0,3.448051948,0.331168831,0,0,0,0.019480519,0,0,0,0,0,0,0,0,0,0,0,0,0,40.92857143,0.428571429,0,0,0,0,0.019480519,0,0.272727273,0,0.136363636,0,0,0.038961039,131.9415584
sa.32,0,0.606283612,0,0.028870648,16.6006227,0,1.443532409,0,0,0,216.1834135,0,3.868666855,11.60600057,0,0,0,0,0.115482593,0,0.115482593,0,0,0,0,1.73223889,0,0,0.028870648,0,1.356920464,0,0,0,0,0,0,0,0,0,0.375318426,0,0,0.202094537,0,0,0,0,0,0,0,0,1.010472686,0,0,0,0,13.3671101,0.779507501,0,0,0.95273139,0,0,212.0260402,0,0,0,0,0,0.606283612,0,0.028870648,0,0,0,0,0,0,1.328049816,0,0.057741296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288706482,0,0.086611945,0,0,0.028870648,0,8.54571186,0,5.196716671,0,0,0,0,0,0,0,3.551089725,0.115482593,0.057741296,0,0,0.115482593,0.028870648,0,0.230965185,0,0,0.981602038,0,0,0,0,0,0,0,0.086611945,0,0,0.404189074,0,0.086611945,0,0,0.057741296,0,0.375318426,0,0.173223889,0,0.866119445,0,0,0.086611945,0,0,0,0,0,0.144353241,0.057741296,0,0,0,0,0.028870648,0,0.086611945,0,0,0.288706482,0,0,0,0.028870648,0,0,0.866119445,0.028870648,0,0,0,0,0.173223889,0,0,0,0,0,0,0,0,0,0,0,0.144353241,0.173223889,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194169261
sa.33,0,0.071388578,0,0.249860022,93.73320269,0,117.7554591,92.69806831,0,0,27.91293393,0,0.464025756,1.213605823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035694289,0,0,0.035694289,0,0.035694289,0.035694289,0,0,0,0,0,5.104283315,0,0.035694289,14.88451848,0,0,0.571108623,0,0,0,0,0,0,0,0,13.70660694,0,0.99944009,0.6424972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035694289,0.249860022,0,0,0,0,0,0,0.071388578,0,0.142777156,0,0,0.035694289,0,0.035694289,0,0,100.943449,9.280515118,0,0.356942889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28387458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427771557,0,0,0,23.95086786
sa.34,0,0,0,0,8.087457953,0,3.25404453,0,0,0,0.313150729,0,0,0.068076245,0,0,0,0,0,0,0,0,0,0.027230498,0,0,0,0,0.013615249,0,0,0,0,0,0,0,0.054460996,0,0,0,0,0,0,0,0,0,0,0.163382989,0,0,0,0,0.013615249,0,0.054460996,0.013615249,0,18.77542848,0.217843985,0.013615249,0,0.013615249,0,0,446.5529393,0,0,0.217843985,0,0,0.272304982,0,0.054460996,0,0,0,0,0.190613487,0.44930322,19.60595867,0,1.497677399,0.068076245,0.027230498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081691494,0,0.027230498,0,0,0.040845747,0,0.58545571,0,2.396283838,0,0,0,0,0,0,0,5.568636873,0.313150729,0,0.040845747,0,0.013615249,0,0.013615249,0.163382989,0.013615249,0,0.040845747,0,0,0,0,0,0,0.013615249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040845747,0,0,0,0,0,0,0,0.013615249,0,0,0.027230498,0,0,0,0,0,0,0.108921993,0.068076245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231459234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176998238
sa.35,0,0,0,0,92.23828125,0,9.9609375,0.3984375,0,0,64.9453125,0,0.59765625,3.1875,0,0,0,0,0,0,0,0,0,0,0,6.17578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59765625,0,0,2.58984375,0,0,0,0.19921875,0,0,0.19921875,0.19921875,0,0,0,0,0,6.97265625,0.19921875,0.19921875,0,0,0,0,138.0585938,0,0.19921875,1.1953125,0,0,1.59375,0,0,0,0,0,0,0,2.19140625,98.015625,0,5.1796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19921875,0,0,0,0,5.578125,0,15.33984375,0,4.98046875,0,0,0.19921875,0,0,0,0,28.08984375,2.98828125,0,0,0,0,0,0,0.19921875,0,0,0.796875,0.19921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19921875,0.99609375,0.3984375,0,0,2.98828125,0,0,0,0,0,0,0,0,1.79296875,0,0,0,0,0,0,0,1.59375,0,0,0,0,0,0,0,0.19921875,0,2.98828125,0,0,0,0,0,0,0,0,0.3984375,0,0,0,0,0,0,0,0,0,3.38671875,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39453125
sa.36,0.041302235,0.08260447,0,0,18.87512148,0,1.032555879,51.87560739,0,0,136.9995141,0.041302235,2.436831876,7.764820214,0,0,0,0.041302235,0,0,0,0,0,0,0.041302235,1.734693878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165208941,0,0,0.08260447,0,0.041302235,0,0,0,0,0.041302235,0,0.371720117,0.041302235,0.08260447,0.165208941,0,8.590864917,0.041302235,0.206511176,0,1.073858115,0,0,189.5772595,0,0.08260447,1.032555879,0,0,0.826044704,0.123906706,1.734693878,0,0,0,0,0,0,13.58843537,0,0.371720117,0.536929057,0.08260447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289115646,0.041302235,0.041302235,0,0,0.330417881,0,1.280369291,0,1.404275996,0,0,0,0,0,0,0,58.27745384,1.486880466,0,0,0,0,0.165208941,0,0.041302235,0.041302235,0,0.413022352,0,0,0.08260447,0,0,0,0.123906706,0,0,0,0,0,0,0,0,0,0,0.041302235,0,0,0.08260447,2.106413994,0,0,0,0,0,0.08260447,0,0,0.371720117,0.206511176,0,0.041302235,0,0,0,0,0.247813411,0,0,0,0.08260447,0.123906706,0,0.08260447,0.247813411,0,1.280369291,0.041302235,0,0,0,0.123906706,0,0,0,0,0,0,0,0,0,0,0,0.165208941,0,0.041302235,0,0,0,0,0.289115646,0.123906706,0,0,0,0,0.206511176,0,0,0.165208941
sa.37,0,0,0,0,0.633948264,0,0.029259151,0,0,0,1.137855859,0,0.026008134,0.065020335,0,0,0,0.003251017,0,0,0,0,0,0.003251017,0,0,0,0,0.071522368,0,0,0,0,0,0,0,0,0,0,0,0.048765251,0,0,0.058518301,0,0,0,0,0,0,0,0,3.189247421,0,0,0,0,1.76530209,0.013004067,0,0,0.032510167,0,0,469.1314686,0,0.003251017,0,0,0,0.546170812,0,0.003251017,0,0,0,0,0,0,0.234073205,0,0.006502033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097530502,0,0.048765251,0,0,0,0,0.224320155,0,22.43526652,0.068271352,0,0,0,0.006502033,0,0,4.931792394,0.370615908,0,0.022757117,0,0,0,0.133291686,0.058518301,0.276336423,0,0.091028469,0,0,0,0.065020335,0,0,0,0,0,0,0,0,0,0.035761184,0.006502033,0,0,0.165801854,0.419381159,0.00975305,0,1.033823323,0,0,0,0,0,0,0,0,0.003251017,0,0,0,0.065020335,0,0.003251017,0.094279485,0,0,0,0,0,0,0,0.006502033,0.00975305,0,0.627446231,0.156048803,0,0,0,0,0,0.097530502,0,0,0,0,0,0,0.071522368,0,0,0,0,1.03707434,0,0,0,0.003251017,0,0,0,0,0,0,0,0,0,0.321850657
sa.38,0,0,0,0,0.795407906,0,0.071766127,0,0,0,0.328928081,0,0.005980511,0.011961021,0,0.035883063,0,2.499853419,0,0.059805106,0,0,0.005980511,0,0,0,0,0,0.31098655,0,0,0,0,0,0,0,0,0,0,0,0.053824595,0,0,0.017941532,0,0,0,0,0,0,0.005980511,0.005980511,0.388733187,0.005980511,0,0.017941532,0.005980511,4.485382929,0.065785616,0.017941532,0.017941532,0,0,0,304.5036763,0,0.143532254,0,0,0,8.151435909,0,0,0,0.161473785,0,0,0,0,0.029902553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023922042,12.56505271,0,0.041863574,0,0,0.017941532,0,1.028647818,0,173.4348066,0,0,0.005980511,0,0,0,0,0.071766127,0,0,0,0,0.017941532,0,0,0,0.053824595,0,0,0,0,0,0,0.017941532,0.017941532,0,0.011961021,0,0,0.017941532,0,0,0,0,0,0,0,0,0,0,0.017941532,0,0.005980511,0.041863574,0,0,0,0,0,0.017941532,0.005980511,0,0,0,0,0,0,0,0,0,0.023922042,0,0,0,0.005980511,0.005980511,0,0.215298381,0.017941532,0,0,0,0,0,0,0,0.005980511,0,0,0.017941532,0,0,0,0,0,0,0.017941532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065785616
sa.39,0,0.270501223,0.541002446,0,7.378672246,0,2.434511006,0,0,0,0.991837817,0.390723989,0,0.045083537,0,0.270501223,0,0.015027846,0,0.976809971,0,0,0.42077968,0,0,0,0,0,0.195361994,0,0,0,0,0.300556914,0.120222766,0,0.300556914,0,0,0,1.89350856,0.090167074,0,1.021893509,0,0,0,0,0,0,0,0.10519492,19.02525267,0,0,0.195361994,0,0.195361994,1.066977046,0.73636444,0,0,0,0,294.8613608,0,0,0.781447977,0,0,2.765123611,0,0,0,0,0,0.240445531,0,0.586085983,0.030055691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.638035183,0.21038984,118.4795356,0,0.465863217,0,0,1.427645343,0,21.86551551,0,4.929133394,0,0,0,0.150278457,0.015027846,0,0,0.811503669,0.045083537,0,0,0,0.10519492,0,0,0,4.042490497,0,0.240445531,0.195361994,0.030055691,0,0,0,0,0,0,0,0.5259746,0.390723989,0,0,0,0,0,0,0,0.270501223,0,0,1.202227657,0,0.360668297,0,0,0,0,0,0.270501223,0.961782126,0,0.045083537,0,0,0,0,0,1.217255503,0,0,0.285529069,0,0,0.045083537,0.120222766,0.045083537,0.015027846,8.115036686,0,0,0,0,0,0.345640451,0,0,0,0,0,0.240445531,0,0,0,0,0,0,0.661225211,0,0,0,0,0,0,0,0,0,0,0,0,0,1.983675634
sa.40,0,0.052960601,0,0,0.571974496,0,0.603750857,0.052960601,0,0,2.838688239,0.01059212,0.063552722,0.137697564,0,0.328355729,0,18.7374608,0,0.01059212,0,0,0,0,0,0.01059212,0,0,0.169473925,0,0,0,0,0,0,0,0,0,0,0,0.296579368,0,0,0.063552722,0,0,0,0.116513323,0,0,0,0.021184241,0.985067187,0,0,2.287897983,0,11.16409479,0.084736962,0.074144842,0.36013209,0.031776361,0,0,199.8521257,0,0.805001142,0.042368481,0.084736962,0,16.68258946,0,0,0,0.01059212,0.052960601,0,0,0,0.233026646,0.063552722,0.01059212,0,0,0,0,0.021184241,0,6.418824898,0,0,0,0,0.01059212,0,0,0,0,0.116513323,26.0989844,0,0.116513323,0,0,0.074144842,0,3.643689381,0,211.4928659,0,0,0,0,0.01059212,0,0,1.631186525,0.116513323,0,0,0,0.042368481,0,0,0.095329083,0.233026646,0.01059212,0.01059212,0,0,0,0,0,0,0.01059212,0,0,0,0.031776361,0,0,0.042368481,0,0,0,0,0,0,0,0.021184241,0,0,0.074144842,0,0.031776361,0,0,0,0.222434526,0.074144842,0,0,0,0,0,0.434276932,0.074144842,0,0,0.052960601,0,0.021184241,0,0.042368481,0.021184241,0,1.143948992,0.084736962,0,0,0,0,0.01059212,0,0.031776361,0.01059212,0,0.01059212,0.042368481,0.021184241,0,0,0,0,0,0.137697564,0,0,0,0,0,0.021184241,0,0,0.01059212,0,0,0,0,0.264803007
sa.41,0,0.009675216,0,0,0.80304295,0,0,0.532136895,0,0,0.241880407,0,0.048376081,0,0,0,0,0,0,0.009675216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009675216,0,0,0,0.57083776,0.212854758,0,0,0,0,0,0.019350433,0.029025649,0,0.009675216,0,8.301335559,0,0,0.009675216,0,3.386325694,4.789232053,0,0.019350433,0.019350433,0,0,332.082448,0,0.919145546,0,0,0,19.27303081,0,0,0,0,0,0,0,0,1.538359387,0,0.15480346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80304295,8.872173319,0,0.048376081,0,0,11.7747382,0,0.832068599,0,113.4806116,0,0,0,0,0.009675216,0,0,0.222529974,0.009675216,0,0,0,0,0,0,0,0.019350433,0,0.048376081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009675216,0,0,0,0,0,0,0.106427379,0,0.377333435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07740173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270906056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048376081
sa.42,0,0,0,0,2.877161056,0,0.061874431,0,0,0,2.598726115,0.061874431,0.030937216,0.030937216,0,0,0,0.123748863,0,0,0,0,0,0,0.030937216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185623294,0,0,0,0.49499545,0,0,0,0,2.722474977,0.030937216,0,0,0,22.27479527,14.50955414,0,0,0.092811647,0,0,138.9699727,0,0.464058235,0.154686078,0,0,23.75978162,0,0,0,0.030937216,0,0,0,0,1.268425842,0.061874431,0.092811647,0,0,0,0,0,0,0,0,0,0,0,0.030937216,0.030937216,0,0,0,1.701546861,167.8653321,0,0.402183803,0,0,0.402183803,0,15.59235669,0,105.9909008,0,0,0.030937216,0.030937216,0,0,0,1.237488626,0,0,0,0,0,0,0,0,2.041856233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030937216,0,0,0,0,0.030937216,0,0,0.030937216,0,0,0,0,0,0,0,0,0.123748863,0,0,0,0,0,0,0.030937216,0.030937216,0,0,0.030937216,0,0,0,0,0.030937216,0,0.92811647,0.030937216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092811647,0,0,0,0,0,0,0,0,0,0.092811647,0.061874431,0,0,2.165605096
sa.43,0,0,0,0,1.616847826,0,0.153985507,0,0,0,2.54076087,0,0,0.076992754,0,0.153985507,0,0,0,0,0,0,0,0,0.076992754,0,0,0,0,0,0,0,0,0.076992754,0,0,0,0,0,0,0.384963768,0,0.076992754,0,0,0,0,0,0,0,0.076992754,0,8.161231884,0,0,0.076992754,0,4.080615942,0.076992754,0,0.153985507,0,0,0,310.5887681,0,0.076992754,0.076992754,0,0,1.000905797,0,0,0,0,0,0,0,0,1.077898551,0,0.153985507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076992754,0,0.153985507,0,0,0,0,0.384963768,0,4.850543478,0,23.79076087,0,0,0.076992754,0,0,0,0,0.538949275,0,0,0,0,0.461956522,0,0,0,142.6675725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.077898551,0,0,0,0,0,0,0,0,0,0.538949275,0,0,0,0,0.076992754,0,0,3.079710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.462862319
sa.44,0,0,0,0,6.209825853,0,0,0.577658219,0,0,12.49185898,0,0.288829109,0.794280051,0,0,0,0,0,0,0,0,0,0,0.072207277,0,0,0,0.144414555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.56010194,0,0,0,0,34.29845675,0.216621832,0,0,0,0,0,199.3642928,0,0,0,0,0,1.299730992,0,0,0,0,0,0,0,0,35.52598046,0.072207277,3.321534759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433243664,0,0,0,0,0,0,16.53546652,0,46.86252301,0,0,0,0,0.072207277,0,0,65.63641512,7.6539714,0,0.144414555,0,0,4.043607532,0,0,8.159422342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45504743,4.693473028,0,0,0.072207277
sa.45,0,0,0,0,1.264537458,0,0.010036012,0,0,0,1.665977921,0,0.050180058,0.050180058,0,0,0.005018006,0,0,0,0,0.005018006,0,0,0,0,0,0,0.020072023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005018006,0,0,0,0.010036012,0,0,0,0.025090029,2.122616447,0,0,0.060216069,0.005018006,0.005018006,0,0.010036012,0,0,0,0,383.2251018,0,0.998583151,0.010036012,0,0,28.56248893,0,0.125450145,0,0,0,0,0,0.015054017,0.762736879,0,0.025090029,0.010036012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234429423,13.75937186,0,0.040144046,0,0,0,0,0.030108035,0,74.51236791,0,0,0.005018006,0,0,0,0,0.933349076,0.140504162,0,0.005018006,0,0,0,0,0,0.015054017,0,0,0,0,0,0,0,0,0.005018006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010036012,0,0,0,0,0,0,0,0,0,0,0,0,0.005018006,0,0.005018006,0,0,0,0,0.005018006,0,0,0,0.005018006,0,0,0.055198064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09534211,0,0,0,0,0,0,0,0,0,0,0.030108035,0,0,0.060216069
sa.46,0,0,0,0,0.896166134,0,0.325878594,0,0,0,1.344249201,0,0,0.040734824,0,0.040734824,0,0,0,0,0,0,0,0,0,0,0,0,0.040734824,0,0,0,0,0,0,0,0,0,0,0,0.57028754,0.040734824,0,0.529552716,0,0,0,0,0.040734824,0,0,0,1.670127796,0.040734824,0,0.040734824,0,1.018370607,0.081469649,0,0,0,0,0,473.827476,0.325878594,0.040734824,0,0,0.773961661,0.936900958,0,0.081469649,0,0,0,0,0,0,0.28514377,0,0,0,0,0,0,0,0,0.203674121,0,0,0,0,0,0,0,0,0,0,0.366613419,0,0.203674121,0,0,0.162939297,0,0.081469649,0,4.154952077,0,0,0.162939297,0,0,0,0,15.84584665,0.692492013,0,0.081469649,0,0,0.366613419,0,0,0.040734824,0,0.407348243,0,0,0,0,0,0,0,0,0,0.040734824,0,0,0,0,0,0,0.040734824,0,0.122204473,0,0.040734824,1.099840256,0,0,0.040734824,0,0.162939297,0,0.081469649,0.162939297,0,0,0,0,0,0,0,0,0,0,0,0.081469649,0,0,0,0.040734824,0,0,1.466453674,0,0,0,0,0,0.040734824,0,0,0,0,0,0,0,0.040734824,0,0,0,0,0.773961661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa.47,0,0.066594849,0,0,1.814709627,0,0.083243561,0,0,0,181.2545294,0,2.747037509,8.757222603,0,0,0,0.016648712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14983841,0.016648712,0,0.066594849,0,0,0,0.016648712,0,0,0,0,0.016648712,0,0,0,0,0.016648712,0.049946137,0.049946137,0,0.049946137,0,0,302.3073156,0.033297424,0,0.033297424,0,0,0.38292038,0.066594849,0,0,0,0,0,0,0,1.14876114,0.016648712,0.049946137,0,0,0,0.116540985,0.033297424,0,0.016648712,0,0,0,0,0,0,0,0,0,0,0.049946137,0,0,0,0,0.033297424,0,0.033297424,0,2.846929782,0,0,0.016648712,0,0,0,0,2.713740084,0.283028107,0.033297424,0.049946137,0,0.049946137,0,0,0.23308197,0.083243561,0,0.033297424,0,0,0,0,0,0,0.016648712,0,0,0,0,0,0,0,0,0,0,0,0.033297424,0.049946137,0,0.23308197,0,0.016648712,0.033297424,0,0,0,0,0,0.23308197,0.033297424,0,0,0.016648712,0,0.016648712,0,0.016648712,0,0,0.066594849,0,0,0.016648712,0.049946137,0.049946137,0,1.781412203,0.049946137,0.016648712,0,0,0.049946137,0,0,0.033297424,0,0,0,0,0,0,0,0,0,0.033297424,0.882381745,0,0,0,0,0,0,0,0,0,0,0.23308197,0,0,0.199784546
sa.48,0,0,0,0,1.434251358,0,0,0,0,0,5.596877424,0,0.041214119,0.263770365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041214119,0,0,0,0,0,0,0,0,0,0,0,0.008242824,0,0.008242824,0,0,0.008242824,2.662432118,0,0.065942591,0,0,0,496.9516098,0,0,0,0,0,0.082428239,0,0.008242824,0,0,0,0,0,0.016485648,0.197827773,0,0.008242824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065942591,0,0,0,0,0,0.304984484,0.008242824,0.008242824,0,0.074185415,0,0,0,0,0,0,0,1.178723817,0.065942591,0,0,0,0,0.016485648,0.016485648,0.057699767,0,0,0,0,0,0,0,0,0.008242824,0,0,0,0,0,0,0,0,0,0,0,0.008242824,0,0.008242824,0,0.049456943,0,0,0,0,0,0,0,0,0.065942591,0.024728472,0,0,0.016485648,0,0.008242824,0,0.074185415,0,0,0,0,0,0,0,0,0,0.222556245,0,0,0,0,0.008242824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181342126,0,0,0,0,0,0,0,0,0,0,0.082428239,0,0,0.049456943
