,region,mills,trib,middle,reservoir,lower,delta,location,Sum,Rich,RichF,SimpF,ShanF,k,depth,site,date,width,CC,Fines,D50,Temp,Cond,p,n,po4,sio4,No3,no2,nh4,no2no3,chla,omRock,imRock,OM,imSeston,BI,SH,site,lat,long,rkm,Elev,Sed1,Sed2,Sed3,Sed4,Sed5,Sed6,Sed7,Sed8,Sed9,Sed10,Sed11,Sed12,SedTot,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,EvenM,Div,SimpsonM,Rhytisma
Loc11,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,11,1427,14,58.24993462,1.708643344,2.149750487,0.021132,35,EMMSLA4,81017,72.3,19,1,78,14,95.2,16.36,131.59,3.48,2237.94,4.99,0.24,7.8,28.8,1.48,0.53,4.02,1.3,2.6,3192,0.0282,EMMSLA4,48.0859,-123.5671,9.2,62,0.125416812,0.31,0.925,0.805,2.54,1.33,5.205,13.49,16.273,33.931,0,0,74.93441681,0.001673688,0.004136951,0.012344128,0.010742727,0.033896307,0.017748854,0.069460739,0.180024087,0.21716323,0.452809289,0,0.213,0.561,0.2234,0.466666667
Loc12,Aldwell Reservoir,Other,Other,Other,Reservoir,Other,Other,12,307,10,88.6656194,1.52637642,2.115243621,0.095203,40,EMMSLA5,81017,28.7,23,7,69,13.9,101.8,13.22,138.4,7.58,2088.13,5.46,0.41,70.79,8.4,0.23,0.06,0.2,1.1,1.3,958.2,0.0154,EMMSLA5,48.0929,-123.5631,8.3,61,0.142545917,0.12,0.57,0.62,2.155,1.15,4.18,12.23,30.026,3.887,0,0,55.08054592,0.002587954,0.002178628,0.010348481,0.011256243,0.039124521,0.020878515,0.075888863,0.222038467,0.545128947,0.07056938,0,0.523,1.204,0.57,0.133333333
Loc13,Lower Elwha,Other,Other,Other,Other,Lower,Other,13,1785,9,104.9822443,8.468150225,19.93399183,0.043913,36,ELMSFW,81117,72.5,61,6,52,14.3,91.4,18.44,257.64,4.6,2391.5,3.23,0.14,16.85,20.7,1.16,0.55,10.28,1.2,3.8,2419.2,0.0417,ELMSFW,48.1036,-123.552,6.5,24,0.493574683,0.34,0.465,0.77,3.435,1.79,6.14,16.092,3.395,52.288,64.7,0,149.9085747,0.003292505,0.002268049,0.003101891,0.005136464,0.022913966,0.011940611,0.040958298,0.107345427,0.022647137,0.348799261,0.431596392,0.331,0.728,0.3367,0.266666667
Loc14,Lower Elwha,Other,Other,Other,Other,Lower,Other,14,9396,13,59.2268431,4.469850211,10.44890126,0.024219,38,ELMSFH,80717,48.8,25,0,81,16.8,82.3,18.39,135.7,2.9,2294.68,1.86,0.3,4.34,32.8,1.17,0.16,1.11,1.6,8.5,3084,0.0506,ELMSFH,48.1192,-123.5541,4.6,16,0.434556825,0.29,0.74,0.445,1.59,0.885,3.805,16.235,13.191,142.475,85.9,0,265.9905568,0.00163373,0.001090264,0.002782054,0.001672992,0.005977656,0.003327186,0.014305019,0.061036001,0.049591986,0.535639316,0.322943796,0.188,0.483,0.2049,0.333333333
Loc15,Lower Elwha,Other,Other,Other,Other,Lower,Other,15,18572,13,70.32013435,1.961847588,3.197348492,0.014815,24,ELMSHR,81017,28.1,46,0,60,16.9,100.5,13.75,131.09,5.67,2569.91,5.17,0.19,50.98,18.5,1.91,0.19,0.79,1.2,1.1,2568,0.1121,ELMSHR,48.1298,-123.5586,2.9,12,0.150879862,0,0,0,0.11,0.42,4.105,21.057,27.863,0,0,0,53.70587986,0.002809373,0,0,0,0.002048193,0.007820373,0.076434834,0.392079974,0.518807253,0,0,0.135,0.345,0.1444,0.5
Loc16,Lower Elwha,Other,Other,Other,Other,Lower,Other,16,581,11,66.49901102,1.173276548,1.579403199,0.016088,37,ELMSNM,80717,17.8,24,11,56,15.8,103.1,14.84,128.91,3.67,2604.06,2.94,0.38,13.52,14.1,0.45,0.12,0.64,1.3,3.4,961.7,0.025,ELMSNM,48.1416,-123.5655,1.2,3,0.196621782,0.895,1.575,1.1,3.26,1.795,6.49,12.971,23.196,20.173,0,0,71.65162178,0.002744136,0.012490994,0.021981359,0.01535206,0.045497923,0.025051771,0.090577154,0.181028701,0.323733077,0.281542825,0,0.38,0.912,0.4884,0.466666667
Loc17,Delta,Other,Other,Other,Other,Other,Delta,17,544,10,153.3333186,3.480455589,6.611876565,0.009289,42,EP7-092816,92816,NA,0,4,0.4,11.6,0.296,NA,NA,10.33,NA,NA,NA,122.26,39.78,0.0002,NA,NA,0.0016,0.0038,NA,NA,EP7-092816,48.1501,-123.5592,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1.083,0.5186,0.2
Loc18,Delta,Other,Other,Other,Other,Other,Delta,18,50,8,73.06175374,1.298031762,1.817371288,0.00631,40,EP3-092816,92816,NA,0,63,0.01,12.5,1.109,NA,NA,8.9,NA,NA,NA,69.49,17.02,0.001,NA,NA,0.0017,0.0017,NA,NA,EP3-092816,48.1506,-123.5594,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749,1.558,0.744,0.533333333
Loc19,Delta,Other,Other,Other,Other,Other,Delta,19,371,4,100.7237039,1.882063691,2.888093418,0.009767,45,ES1-100216,100216,NA,0,36,0.09,12.5,0.495,NA,NA,5.65,NA,NA,NA,19.85,8.84,0.001,NA,NA,0.0021,0.0007,NA,NA,ES1-100216,48.1472,-123.5635,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.645,0.3811,0.666666667
Loc20,Delta,Other,Other,Other,Other,Other,Delta,20,147,4,84.84516903,2.256627757,4.056386368,0.011725,35,EP1-092816,92816,NA,0,14,0.24,13.5,1.388,NA,NA,12.21,NA,NA,NA,51.73,12.56,0.001,NA,NA,0.0015,0.0023,NA,NA,EP1-092816,48.1492,-123.5651,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545,0.755,0.3862,0.4
